year,nivel,grupo_natural,sup_sembrada,produccion
2013,grupo_natural,Industriales,390,875
2013,grupo_natural,Legumbres secas,12325,7788
2013,grupo_natural,Oleaginosas,3,4
2013,grupo_natural,Tuberculos,3,16
2013,total,TODOS,166031,2165950
2014,grupo_natural,Cereales,112480,294671
2014,grupo_natural,Forrajes,29413,1645090
2014,grupo_natural,Frutales,2048,8545
2014,grupo_natural,Hortalizas,5746,163715
2014,grupo_natural,Industriales,297,135
2014,grupo_natural,Legumbres secas,12332,8695
2014,grupo_natural,Oleaginosas,3,5
2014,grupo_natural,Tuberculos,5,29
2014,total,TODOS,162324,2120885
2015,grupo_natural,Cereales,113588,327780
2015,grupo_natural,Forrajes,28737,1667449
2015,grupo_natural,Frutales,1871,7282
2015,grupo_natural,Hortalizas,6707,240125
2015,grupo_natural,Industriales,277,176
2015,grupo_natural,Legumbres secas,11658,6872
2015,grupo_natural,Oleaginosas,5,9
2015,grupo_natural,Tuberculos,24,778
2015,total,TODOS,162867,2250471
2016,grupo_natural,Cereales,115976,347287
2016,grupo_natural,Forrajes,26721,1592869
2016,grupo_natural,Frutales,1594,5831
2016,grupo_natural,Hortalizas,6537,209178
2016,grupo_natural,Industriales,577,2890
2016,grupo_natural,Legumbres secas,8887,6296
2016,grupo_natural,Oleaginosas,4,6
2016,grupo_natural,Tuberculos,3,14
2016,total,TODOS,160299,2164371
2017,grupo_natural,Cereales,110515,321379
2017,grupo_natural,Especias y medicinales,614,166
2017,grupo_natural,Forrajes,26281,1564616
2017,grupo_natural,Frutales,1453,4887
2017,grupo_natural,Hortalizas,6009,232757
2017,grupo_natural,Industriales,565,2512
2017,grupo_natural,Legumbres secas,8447,4915
2017,grupo_natural,Oleaginosas,3,5
2017,grupo_natural,Otros,8,3360
2017,total,TODOS,153895,2134597
2018,grupo_natural,Cereales,105394,285651
2018,grupo_natural,Especias y medicinales,237,77
2018,grupo_natural,Forrajes,27016,1534442
2018,grupo_natural,Frutales,1463,5364
2018,grupo_natural,Hortalizas,6348,259639
2018,grupo_natural,Industriales,652,2116
2018,grupo_natural,Legumbres secas,7902,4689
2018,grupo_natural,Oleaginosas,4,7
2018,grupo_natural,Otros,8,3470
2018,grupo_natural,Tuberculos,2,10
2018,total,TODOS,149026,2095465
2019,grupo_natural,Cereales,95524,246929
2019,grupo_natural,Forrajes,26394,1529872
2019,grupo_natural,Frutales,1404,4465
2019,grupo_natural,Hortalizas,5475,249121
2019,grupo_natural,Industriales,394,1570
2019,grupo_natural,Legumbres secas,7402,4255
2019,grupo_natural,Oleaginosas,5,8
2019,grupo_natural,Otros,8,3300
2019,grupo_natural,Tuberculos,4,7
2019,total,TODOS,136610,2039527
2020,grupo_natural,Cereales,97539,237516
2020,grupo_natural,Forrajes,26852,1485344
2020,grupo_natural,Frutales,1406,4732
2020,grupo_natural,Hortalizas,6998,284521
2020,grupo_natural,Industriales,666,2906
2020,grupo_natural,Legumbres secas,6261,2994
2020,grupo_natural,Oleaginosas,4,7
2020,grupo_natural,Otros,9,3740
2020,grupo_natural,Tuberculos,3,11
2020,total,TODOS,139738,2021771
2021,grupo_natural,Cereales,101344,245663
2021,grupo_natural,Forrajes,26664,1476188
2021,grupo_natural,Frutales,1397,4858
2021,grupo_natural,Hortalizas,6051,219978
2021,grupo_natural,Industriales,660,2911
2021,grupo_natural,Legumbres secas,6898,4668
2021,grupo_natural,Oleaginosas,4,7
2021,grupo_natural,Otros,9,3740
2021,grupo_natural,Tuberculos,3,11
2021,total,TODOS,143030,1958024
2022,grupo_natural,Cereales,69627,238319
2022,grupo_natural,Forrajes,23864,1417940
2022,grupo_natural,Frutales,1372,4856
2022,grupo_natural,Hortalizas,5697,217442
2022,grupo_natural,Industriales,728,3948
2022,grupo_natural,Legumbres secas,6632,2387
2022,grupo_natural,Oleaginosas,2,3
2022,grupo_natural,Otros,8,3350
2022,grupo_natural,Tuberculos,4,19
2022,total,TODOS,107934,1888264
2023,grupo_natural,Cereales,80214,265477
2023,grupo_natural,Forrajes,24016,1421185
2023,grupo_natural,Frutales,1386,5056
2023,grupo_natural,Hortalizas,5622,243191
2023,grupo_natural,Industriales,718,3935
2023,grupo_natural,Legumbres secas,3415,1520
2023,grupo_natural,Oleaginosas,2,3
2023,grupo_natural,Otros,8,3182
2023,grupo_natural,Tuberculos,4,19
2023,total,TODOS,115385,1943568
2024,grupo_natural,Cereales,75506,278303
2024,grupo_natural,Forrajes,26695,1615563
2024,grupo_natural,Frutales,1336,4976
2024,grupo_natural,Hortalizas,5427,213307
2024,grupo_natural,Industriales,729,4504
2024,grupo_natural,Legumbres secas,3589,2276
2024,grupo_natural,Oleaginosas,2,3
2024,grupo_natural,Otros,8,3451
2024,grupo_natural,Tuberculos,4,19
2024,total,TODOS,113296,2122402
